ablation_run_id,design_condition_id,reference_run_id,source_condition_id,outer_fold,alpha,scenario,attack,malicious_count,method_family,variant,variant_label,component_isolated,fl_seed,model_seed,random_schedule_seed,condition_rationale,component_rationale
1,1,65,11,1,0.1,clean,none,0,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,123,466359210,904643126,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the energy-awareness contribution
2,1,65,11,1,0.1,clean,none,0,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,123,466359210,904643126,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the trust contribution
3,1,66,11,1,0.1,clean,none,0,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,123,466359210,904643126,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the energy-aware selection contribution
4,1,66,11,1,0.1,clean,none,0,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,466359210,904643126,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
5,1,71,12,1,0.1,clean,none,0,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,456,1039791761,2129548108,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the energy-awareness contribution
6,1,71,12,1,0.1,clean,none,0,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,456,1039791761,2129548108,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the trust contribution
7,1,72,12,1,0.1,clean,none,0,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,456,1039791761,2129548108,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the energy-aware selection contribution
8,1,72,12,1,0.1,clean,none,0,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,456,1039791761,2129548108,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
9,1,185,31,2,0.1,clean,none,0,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,123,1609500700,1673688556,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the energy-awareness contribution
10,1,185,31,2,0.1,clean,none,0,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,123,1609500700,1673688556,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the trust contribution
11,1,186,31,2,0.1,clean,none,0,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,123,1609500700,1673688556,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the energy-aware selection contribution
12,1,186,31,2,0.1,clean,none,0,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,123,1609500700,1673688556,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
13,1,191,32,2,0.1,clean,none,0,tea_fl,tea_trust_only,TEA-FL trust-only,TEA energy awareness,456,2090734901,6174703,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the energy-awareness contribution
14,1,191,32,2,0.1,clean,none,0,tea_fl,tea_energy_only,TEA-FL energy-only,TEA trust mechanism,456,2090734901,6174703,No attack under strong non-IID heterogeneity,Full TEA-FL minus this variant estimates the trust contribution
15,1,192,32,2,0.1,clean,none,0,arl_fl,arl_no_energy,ARL-FL without energy-aware selection,ARL energy-aware selection,456,2090734901,6174703,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the energy-aware selection contribution
16,1,192,32,2,0.1,clean,none,0,arl_fl,arl_no_pressure,ARL-FL without adaptive global pressure,ARL adaptive global pressure,456,2090734901,6174703,No attack under strong non-IID heterogeneity,Full ARL-FL minus this variant estimates the adaptive-pressure contribution
